Order ID,Product,Category,Sales,Profit,Date,Region,Year,Month,Profit Margin
ORD-1000,Paper,Office Supplies,45.91,7.5,2024-07-17,East,2024,2024-07,0.163
ORD-1001,Envelope,Office Supplies,19.06,4.16,2025-05-14,East,2025,2025-05,0.218
ORD-1002,Paper,Office Supplies,79.75,21.7,2025-05-09,West,2025,2025-05,0.272
ORD-1003,Desk,Furniture,137.95,16.14,2024-11-27,South,2024,2024-11,0.117
ORD-1004,Chair,Furniture,259.87,-12.89,2023-07-18,South,2023,2023-07,-0.05
ORD-1005,Table,Furniture,379.81,-1.09,2025-02-14,East,2025,2025-02,-0.003
ORD-1006,Tablet,Technology,159.55,1.68,2023-05-23,West,2023,2023-05,0.011
ORD-1007,Desk,Furniture,132.37,33.32,2025-02-17,East,2025,2025-02,0.252
ORD-1008,Printer,Technology,221.61,42.84,2024-06-30,West,2024,2024-06,0.193
ORD-1009,Binder,Office Supplies,25.08,7.37,2023-12-01,West,2023,2023-12,0.294
ORD-1010,Envelope,Office Supplies,25.06,10.08,2024-10-26,West,2024,2024-10,0.402
ORD-1011,Bookcase,Furniture,143.54,25.74,2024-07-02,South,2024,2024-07,0.179
ORD-1012,Stapler,Office Supplies,54.55,1.83,2025-10-19,West,2025,2025-10,0.034
ORD-1013,Monitor,Technology,1698.34,548.97,2024-06-22,West,2024,2024-06,0.323
ORD-1014,Monitor,Technology,572.67,114.86,2025-11-09,West,2025,2025-11,0.201
ORD-1015,Desk,Furniture,94.24,-0.94,2023-05-11,South,2023,2023-05,-0.01
ORD-1016,Tablet,Technology,237.98,73.03,2023-08-23,East,2023,2023-08,0.307
ORD-1017,Stapler,Office Supplies,18.88,3.7,2024-08-24,East,2024,2024-08,0.196
ORD-1018,Stapler,Office Supplies,24.05,6.09,2025-11-05,West,2025,2025-11,0.253
ORD-1019,Envelope,Office Supplies,48.05,13.77,2023-11-10,West,2023,2023-11,0.287
ORD-1020,Paper,Office Supplies,34.95,3.15,2025-09-27,Central,2025,2025-09,0.09
ORD-1021,Monitor,Technology,85.88,26.79,2024-05-08,East,2024,2024-05,0.312
